序号,案件组ID,文书唯一ID,省份,城市,区县,发布机关,稽查机构,当事人名称,统一社会信用代码,法定代表人,文书类型,决定书文号,关联处理决定书文号,关联处罚决定书文号,主要违法事实,涉及税种,追缴税款金额,滞纳金金额,罚款金额,没收违法所得金额,处理或处罚结果,决定书作出日期,官方发布日期,第三方收录日期,首次发现日期,最后核验日期,公开完整度,来源级别,核验状态,官方原文链接,附件链接,备用来源链接,页面标题,页面当前状态,备注
113,CASE-0ad358758747b628,DOC-0b7cec804913e65e,江苏省,常州市,,国家税务总局常州市税务局第二稽查局,国家税务总局常州市税务局第二稽查局,常州金富纸业有限公司,91320481MACT7D8MXG,,税务行政处罚决定书,常税稽二罚〔2026〕57号,常税稽二处〔2026〕102号,常税稽二罚〔2026〕57号,"根据《税务处理决定书》(常税稽二处〔2026〕102号),你单位为他人开具与实际经营业务情况不符的增值税专用发票10 份,属于虚开发票行为;",增值税,,,60000,50583,"根据《税务行政处罚决定书》(常税稽二罚〔2026〕57号),决定对你单位处罚款 60000.00元,并处没收违法所得 50583.00元。",,2026-07-01,,2026-08-24,2026-08-26,完整文书,税务机关官网,已核验,https://jiangsu.chinatax.gov.cn/art/2026/7/1/art_9280_1757244.html,,,国家税务总局江苏省税务局网站 通知公告 国家税务总局常州市税务局第二稽查局关于送达常州金富纸业有限公司《税务处理决定书》《税务行政处罚决定书》的公告,正常,Excel 与 CSV 历史数据已合并核对。
98,CASE-523e02525d6af234,DOC-4f939e2e3176e251,贵州省,贵阳市,,国家税务总局贵阳市税务局第三稽查局,国家税务总局贵阳市税务局第三稽查局,观山湖区果二乎生鲜超市(个体工商户),,,税务处理决定书,筑税三稽处〔2026〕32号,筑税三稽处〔2026〕32号,筑税三稽罚〔2026〕36号,,,,,,,,,2026-06-30,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202606/t20260630_90568353.html,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202606/P020260630346719389226.doc,,国家税务总局贵阳市税务局第三稽查局关于送达税务处理决定书、税务行政处罚决定书的公告,附件正常,Excel 与 CSV 历史数据已合并核对。
99,CASE-523e02525d6af234,DOC-687db09505027d1e,贵州省,贵阳市,,国家税务总局贵阳市税务局第三稽查局,国家税务总局贵阳市税务局第三稽查局,观山湖区果二乎生鲜超市(个体工商户),,,税务行政处罚决定书,筑税三稽罚〔2026〕36号,筑税三稽处〔2026〕32号,筑税三稽罚〔2026〕36号,,,,,,,,,2026-06-30,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202606/t20260630_90568353.html,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202606/P020260630346719389226.doc,,国家税务总局贵阳市税务局第三稽查局关于送达税务处理决定书、税务行政处罚决定书的公告,附件正常,Excel 与 CSV 历史数据已合并核对。
18,CASE-3f564fd9992b1ae3,DOC-c34e1d13286aafe2,福建省,泉州市,,国家税务总局泉州市税务局第二稽查局,国家税务总局泉州市税务局第二稽查局,泉州隆鸿服装制造有限公司,91350525MA8U3U963L,,税务处理决定书,泉税二稽处〔2026〕107号,泉税二稽处〔2026〕107号,,"日对你公司税收违法事实依法作出《税务处理决定书》(泉税二稽处〔 涉税情况进行了检查,查明违法事实及处理决定如下: 年你公司在无真实货物交易的情况下,取得河南中弘纺织有限公司虚开的 项之规定,你公司上述受票行为已构成让他人为自己开具与实际经营业务情况不符的发票,属于让他人为自己虚开发票行为 年期间,你公司在无真实货物交易的情况下,取得开封兴旺纺织品有限公司虚开的 项之规定,你公司上述受票行为已构成让他人为自己开具与实际经营业务情况不符的发票,属于让他人为自己虚开发票行为 上述违法事实有检查人员实地检查资料、电话拨打记录、邮寄退回函件、《已证实虚开通知单》等相关受托协查资料、主管税务机关出具的《已抵扣证明》、《情况说明》和你公司的申报纳税资料、银行账户流水等 号第三次修订)第二十一条第二款第二项之规定,认定你公司让他人为自己虚开 号第二次修订)第九条和《国家税务总局关于纳税人虚开增值税专用发票征补税款问题的公告》(国家税务总局公告〔 号)之规定,对你公司取得上述已证实虚开的 之规定,决定向你公司追缴少缴的城市维护建设税-增值税附征 号)第一条之规定,你公司已走逃失联,取得虚开增值税专用发票不得作为税前扣除凭证,且未提供相关资料证实其支出真实性,相应支出不得在发生年度税前扣除,应调增企业所得税应纳税所得额,决定追缴你公司 规定,决定向你公司追缴少缴的教育费附加-增值税附征 规定,决定向你公司追缴少缴的地方教育附加-增值税附征",增值税、企业所得税、城市维护建设税、教育费附加、地方教育附加,,,,,"由于你公司走逃失联、相关人员无法联系,致使上述文书采取直接送达、邮寄送达等其他方式均无法送达,现根据《中华人民共和国税收征收管理法实施细则》第一百零六条第二项的规定,将上述文书主要内容予以公告送达,自公告之日起满 号)第一条之规定,你公司已走逃失联,取得虚开增值税专用发票不得作为税前扣除凭证,且未提供相关资料证实其支出真实性,相应支出不得在发生年度税前扣除,应调增企业所得税应纳税所得额,决定追缴你公司 (五)根据《中华人民共和国税收征收管理法》第三十二条之规定,对你公司上述应补缴税款按税款所属时间从税款滞纳之日起按日加收万分之五滞纳金",,2026-06-29,,2026-07-26,2026-08-26,完整文书,税务机关官网,已核验,https://fujian.chinatax.gov.cn/qzsswj/xxgk/sjxxgk/qtgg_23603/202606/t20260626_639804.htm,,,"关于对泉州隆鸿服装制造有限公司《税务处理决定书》送达的公告 _
 其他公告 _
 国家税务总局泉州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
53,CASE-8c6b87b21795f1c9,DOC-91c333727d39b87a,福建省,福州市,仓山区,国家税务总局福州市税务局,国家税务总局福州市税务局稽查局,福建柏鹤龙发展有限公司,91350105MA346FK076,,税务处理决定书,榕税稽处〔2026〕71号,榕税稽处〔2026〕71号,,"我局于2024年5月22日至2026年6月1日对你公司(地址:福建省福州市仓山区金山街道浦上大道200号红星晶海广场(福州红星国际)2#写字楼12层05写字间)2021年1月1日至2024年3月31日涉税情况进行了检查,违法事实及处理决定如下: 你公司走逃失联,未提供出口货物对应的备案单证资料,其中收到上游供货企业开具的已证实虚开增值税专用发票217份,金额24371793.58元,税额3168333.16元(具体明细见附件),其中216份用于申报出口退税,取得退税款3155480.2元。 (一)根据《财务部 国家税务总局关于出口货物劳务增值税和消费税政策的通知》(财税〔2012〕39号)第七条第一项第5目、第九条第二项第5目、《国家税务总局关于<出口货物劳务增值税和消费税管理办法>有关问题的公告》(国家税务总局公告2013年第12号)第五条第九项第1目、《国家税务总局关于发布<出口业务增值税和消费税退(免)税管理办法>的公告》(国家税务总局公告2026年第5号)第五十七条第一项、《财政部 税务总局关于出口业务增值税和消费税政策的公告》 (财税〔2026〕11号)第七条第一项第5目、第九条第二项第3目的规定,你公司取得上游企业开具的已证实虚开增值税专用发票(金额24371793.58元,税额3168333.16元,价税合计27540126.74元),不适用增值税退(免)税和免税政策的规定,应追缴你公司取得虚开增值税专用发票的出口退税款3155480.2元。 你公司取得的宜春童舒针织品有限公司开具的1份增值税专用发票(发票代码3600221130,发票号码05340144,金额98868.94元,税额12852.96元),暂未申报出口退税,不得作为增值税合法有效的扣税凭证抵扣进项税额,不得用于增值税出口退税,不得作为企业所得税税前扣除凭证。",增值税、企业所得税、消费税、城市维护建设税、教育费附加、地方教育附加,3155480.2,,,,"我局于2026年6月18日对你公司作出《税务处理决定书》(榕税稽处〔2026〕71号),由于你公司失联,采用直接送达、委托送达、邮寄送达、留置送达的方式无法送达,现根据《中华人民共和国税收征收管理法实施细则》第106条规定,将该文书予以公告送达,自公告之日起满30日视为送达。 (一)根据《财务部 国家税务总局关于出口货物劳务增值税和消费税政策的通知》(财税〔2012〕39号)第七条第一项第5目、第九条第二项第5目、《国家税务总局关于<出口货物劳务增值税和消费税管理办法>有关问题的公告》(国家税务总局公告2013年第12号)第五条第九项第1目、《国家税务总局关于发布<出口业务增值税和消费税退(免)税管理办法>的公告》(国家税务总局公告2026年第5号)第五十七条第一项、《财政部 税务总局关于出口业务增值税和消费税政策的公告》 (财税〔2026〕11号)第七条第一项第5目、第九条第二项第3目的规定,你公司取得上游企业开具的已证实虚开增值税专用发票(金额24371793.58元,税额3168333.16元,价税合计27540126.74元),不适用增值税退(免)税和免税政策的规定,应追缴你公司取得虚开增值税专用发票的出口退税款3155480.2元。 (四)根据《国家税务总局关于<出口货物劳务增值税和消费税管理办法>有关问题的公告》(国家税务总局公告2013年第12号)第五条第八项、《财政部国家税务总局关于出口货物劳务增值税和消费税政策的通知》(财税〔2012〕39号)第九条第二项第5目、《财政部 税务总局关于出口业务增值税和消费税政策的公告》(财税〔2026〕11号)第六条第一项第1目第(17),对于你公司未按规定进行单证备案的情况,属于不应退税或免税但已实际退税或免税的情形,追缴检查属期内已退税款43131980.84元,扣除上述第(一)点的追缴金额3155480.2元,应追缴税款39976500.64元。",,2026-06-25,,2026-08-15,2026-08-26,完整文书,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202606/t20260625_639700.htm,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202606/P020260625330950223658.doc,,"关于送达福建柏鹤龙发展有限公司《税务处理决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",附件正常,Excel 与 CSV 历史数据已合并核对。
93,CASE-81cdccb720458e58,DOC-f00a1490abc86172,广西壮族自治区,防城港市,,国家税务总局防城港市税务局,国家税务总局防城港市税务局稽查局,广西纳啸贝商贸有限公司,91450621MAEKUKKA8K,,税务行政处罚决定书,防市税稽罚〔2026〕7号,,防市税稽罚〔2026〕7号,"我局于2026年1月9日至2026年4月22日对你公司(地址:广西壮族自治区防城港市上思县思阳镇龙江半岛花园R4-12幢107号)2025年6月3日至2025年12月31日期间的涉税情况进行了检查,违法事实及处罚决定如下: (1)经查询增值税发票电子底账系统,你公司2025年6月开具给青岛本帮服商贸有限公司增值税电子专用发票共计36份,其中18份正数发票于2025年6月17日开具,发票号码分别为:25452000000066247181、25452000000066247212、25452000000066247309、25452000000066247346、25452000000066247576、25452000000066247771、25452000000066248597、25452000000066256136、25452000000066256849、25452000000066266285、25452000000066275569、25452000000066275993、25452000000066284961、25452000000066285200、25452000000066285250、25452000000066285473、25452000000066285995、25452000000066294779,以上发票金额共计4,424,778.75元、税额共计575,221.25元、价税合计5,000,000元; 经查询金税三期税收管理系统,你公司2025年6月开具上述39份发票,发票金额合计1,230,663.72元,税额合计159,986.28元,以上开具的增值税电子专用发票未申报纳税。",增值税,,,200000,,"逾期不缴纳罚款,我局可依照《中华人民共和国行政处罚法》第七十二条第一款第(一)项的规定,每日按罚款数额的百分之三加处罚款。",2026-04-22,2026-06-22,,2026-08-20,2026-08-26,完整文书,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/fangchenggang/tzgg_15261/tzgg_15262/202606/t20260622_434792.html,https://guangxi.chinatax.gov.cn/fangchenggang/tzgg_15261/tzgg_15262/202606/P020260622389669214232.docx,,国家税务总局防城港市税务局稽查局税务文书送达公告_国家税务总局防城港市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
1,CASE-717dfe3250926214,DOC-7df9c075e55777a1,江苏省,泰州市,,国家税务总局泰州市税务局第一稽查局,国家税务总局泰州市税务局第一稽查局,靖江市长凌金属材料有限公司,91321282742461893K,,税务行政处罚决定书,泰税一稽罚〔2025〕54号,,泰税一稽罚〔2025〕54号,,,,,,,,,2026-06-18,,2026-07-26,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://jiangsu.chinatax.gov.cn/art/2026/6/18/art_9386_1751985.html,,,国家税务总局江苏省税务局网站 通知公告 关于撤销《税务行政处罚决定书》的公告,正常,官方页面显示该决定书已被撤销。 Excel 与 CSV 历史数据已合并核对。
15,CASE-a62e569c195adc3c,DOC-b1dda915d4e6117d,贵州省,遵义市,,国家税务总局遵义市税务局第一稽查局,国家税务总局遵义市税务局第一稽查局,贵州服格定商贸有限公司,91520302MABUEHN034,,税务处理决定书,遵税一稽处〔2026〕30号,遵税一稽处〔2026〕30号,,"情况进行了检查,违法事实及处理决定如下: 2023年度开具增值税电子普通发票合计金额36,788.18元,税额905.82元,价税37,694.00元,未申报纳税,并且你公司从2023年起所有税种没有进行纳税申报。",增值税,,,,,,,2026-06-12,,2026-07-26,2026-08-26,完整文书,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/zys/tzgg_59682/202606/t20260612_90517732.html,,,国家税务总局遵义市税务局第一稽查局税务处理决定书(遵税一稽处〔2026〕30 号),正常,Excel 与 CSV 历史数据已合并核对。
6,CASE-13a8aac51595155a,DOC-7189c9a2cee8e8ce,浙江省,温州市,,国家税务总局温州市税务局第三稽查局,国家税务总局温州市税务局第三稽查局,温作潘,,,税务处理决定书,温税三稽处〔2026〕100号,温税三稽处〔2026〕100号,温税三稽罚〔2026〕65号,,,,,,,,,2026-06-02,,2026-07-26,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://zhejiang.chinatax.gov.cn/art/2026/6/2/art_8884_655536.html,https://zhejiang.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=a26d0b31cfe043faa366f8ada534376f.doc,,国家税务总局浙江省税务局 通知公告 国家税务总局温州市税务局第三稽查局关于对温作潘的税务文书送达公告,附件正常,Excel 与 CSV 历史数据已合并核对。
7,CASE-13a8aac51595155a,DOC-02fc2468fd0396a6,浙江省,温州市,,国家税务总局温州市税务局第三稽查局,国家税务总局温州市税务局第三稽查局,温作潘,,,税务行政处罚决定书,温税三稽罚〔2026〕65号,温税三稽处〔2026〕100号,温税三稽罚〔2026〕65号,,,,,,,,,2026-06-02,,2026-07-26,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://zhejiang.chinatax.gov.cn/art/2026/6/2/art_8884_655536.html,https://zhejiang.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=479445eec5ed42a59ca413c583671569.doc,,国家税务总局浙江省税务局 通知公告 国家税务总局温州市税务局第三稽查局关于对温作潘的税务文书送达公告,附件正常,Excel 与 CSV 历史数据已合并核对。
